scans,query,obs.mass,GlycanMass,MonoisotopicY1mass,MonoisotopicPeptideMass,scan.time,precursorMZ,exact.mass,charge,peptideSequence,sequence,specificity,analysis,q.value,table2Sequence,n.sequence,title,modification
9827,45,2190.028248,1008,1384.73104283,1181.65166983,41.5853333333333,1096.0214,2190.017,2,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9827.txt,00100000000000
11172,47,3046.305696,1864,1384.73104283,1181.65166983,45.5366666666667,762.5837,3046.286,4,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn11172.txt,00100000000000
9847,56,2190.027672,1008,1384.73104283,1181.65166983,41.645,731.0165,2190.017,3,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9847.txt,00100000000000
11182,58,3046.303872,1864,1384.73104283,1181.65166983,45.5723333333333,1016.4419,3046.286,3,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn11182.txt,00100000000000
9729,59,2409.099672,1227,1384.73104283,1181.65166983,41.2808333333333,804.0405,2409.091,3,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9729.txt,00100000000000
9837,62,2409.099248,1227,1384.73104283,1181.65166983,41.6178333333333,1205.5569,2409.091,2,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9837.txt,00100000000000
9703,63,2352.078648,1170,1384.73104283,1181.65166983,41.2018333333333,1177.0466,2352.069,2,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9703.txt,00100000000000
9731,68,2190.021672,1008,1384.73104283,1181.65166983,41.2858333333333,731.0145,2190.017,3,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9731.txt,00100000000000
9830,72,2206.021248,1024,1384.73104283,1181.65166983,41.5961666666667,1104.0179,2206.012,2,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9830.txt,00100000000000
9812,77,2352.079248,1170,1384.73104283,1181.65166983,41.546,1177.0469,2352.069,2,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9812.txt,00100000000000
9238,78,2676.172572,1494,1384.73104283,1181.65166983,39.774,893.0648,2676.175,3,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9238.txt,00100000000000
9780,80,2220.024372,1038,1384.73104283,1181.65166983,41.4426666666667,741.0154,2220.027,3,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9780.txt,00100000000000
9807,81,2352.078972,1170,1384.73104283,1181.65166983,41.5316666666667,785.0336,2352.069,3,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9807.txt,00100000000000
9698,82,2352.080772,1170,1384.73104283,1181.65166983,41.1863333333333,785.0342,2352.069,3,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9698.txt,00100000000000
9860,85,2206.019772,1024,1384.73104283,1181.65166983,41.678,736.3472,2206.012,3,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9860.txt,00100000000000
9943,86,2352.082648,1170,1384.73104283,1181.65166983,41.9085,1177.0486,2352.069,2,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9943.txt,00100000000000
9932,87,2352.081672,1170,1384.73104283,1181.65166983,41.8773333333333,785.0345,2352.069,3,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9932.txt,00100000000000
10881,100,2518.080672,1257,1463.69913358,1260.61976058,44.6671666666667,840.3675,2518.069,3,TSDQALVTEANL,TSDQALVTEANL,2,glycoMod,0,TSDQALVTEANL,TSDQALVTEAnL,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn10881.txt,00000000000000
11552,112,2431.052172,1170,1463.69913358,1260.61976058,46.6395,811.358,2431.037,3,TSDQALVTEANL,TSDQALVTEANL,2,glycoMod,0,TSDQALVTEANL,TSDQALVTEAnL,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn11552.txt,00000000000000
11539,118,2431.053648,1170,1463.69913358,1260.61976058,46.5998333333333,1216.5341,2431.037,2,TSDQALVTEANL,TSDQALVTEANL,2,glycoMod,0,TSDQALVTEANL,TSDQALVTEAnL,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn11539.txt,00000000000000
5090,121,2539.085296,1186,1555.74129022,1352.66191722,26.835,635.7786,2539.074,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5090.txt,0000000100000
6485,122,2523.094096,1170,1555.74129022,1352.66191722,31.4471666666667,631.7808,2523.079,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn6485.txt,0000000100000
5691,123,2580.110896,1227,1555.74129022,1352.66191722,28.9795,646.035,2580.101,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5691.txt,0000000100000
5463,124,2539.076896,1186,1555.74129022,1352.66191722,28.2563333333333,635.7765,2539.074,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5463.txt,0000000100000
5368,125,2523.092096,1170,1555.74129022,1352.66191722,27.9653333333333,631.7803,2523.079,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5368.txt,0000000100000
5684,129,2377.034172,1024,1555.74129022,1352.66191722,28.96,793.352,2377.022,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5684.txt,0000000100000
5703,130,2523.092496,1170,1555.74129022,1352.66191722,29.0171666666667,631.7804,2523.079,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5703.txt,0000000100000
6601,131,2523.093696,1170,1555.74129022,1352.66191722,31.789,631.7807,2523.079,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn6601.txt,0000000100000
5465,135,2685.142048,1332,1555.74129022,1352.66191722,28.2616666666667,1343.5783,2685.132,2,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5465.txt,0000000100000
5443,137,3050.278096,1697,1555.74129022,1352.66191722,28.2085,763.5768,3050.264,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5443.txt,0000000100000
6937,139,2523.084372,1170,1555.74129022,1352.66191722,32.784,842.0354,2523.079,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn6937.txt,0000000100000
6805,140,2523.095696,1170,1555.74129022,1352.66191722,32.3748333333333,631.7812,2523.079,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn6805.txt,0000000100000
5581,141,2523.091696,1170,1555.74129022,1352.66191722,28.6486666666667,631.7802,2523.079,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5581.txt,0000000100000
5461,142,2361.036496,1008,1555.74129022,1352.66191722,28.2538333333333,591.2664,2361.027,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5461.txt,0000000100000
5470,144,2580.108096,1227,1555.74129022,1352.66191722,28.2753333333333,646.0343,2580.101,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5470.txt,0000000100000
5499,145,2523.087448,1170,1555.74129022,1352.66191722,28.3708333333333,1262.551,2523.079,2,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5499.txt,0000000100000
5458,149,2742.164496,1389,1555.74129022,1352.66191722,28.2486666666667,686.5484,2742.154,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5458.txt,0000000100000
5117,150,2539.083372,1186,1555.74129022,1352.66191722,26.9608333333333,847.3684,2539.074,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5117.txt,0000000100000
5013,151,2539.085696,1186,1555.74129022,1352.66191722,26.4996666666667,635.7787,2539.074,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5013.txt,0000000100000
5618,152,2523.090372,1170,1555.74129022,1352.66191722,28.7495,842.0374,2523.079,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5618.txt,0000000100000
5718,153,1758.830896,406,1555.74129022,1352.66191722,29.0668333333333,440.715,1758.821,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5718.txt,0000000100000
6917,154,2523.095696,1170,1555.74129022,1352.66191722,32.7251666666667,631.7812,2523.079,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn6917.txt,0000000100000
5480,155,2523.101296,1170,1555.74129022,1352.66191722,28.3098333333333,631.7826,2523.079,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5480.txt,0000000100000
5725,156,2594.103672,1241,1555.74129022,1352.66191722,29.085,865.7085,2594.117,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5725.txt,0000000100000
5672,157,1555.748772,203,1555.74129022,1352.66191722,28.918,519.5902,1555.741,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5672.txt,0000000100000
5716,158,1758.829872,406,1555.74129022,1352.66191722,29.0618333333333,587.2839,1758.821,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5716.txt,0000000100000
5459,159,2082.935772,730,1555.74129022,1352.66191722,28.2513333333333,695.3192,2082.926,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5459.txt,0000000100000
5464,160,2198.981472,846,1555.74129022,1352.66191722,28.259,734.0011,2198.974,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5464.txt,0000000100000
6360,161,2523.097296,1170,1555.74129022,1352.66191722,31.0888333333333,631.7816,2523.079,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn6360.txt,0000000100000
5485,163,2685.140896,1332,1555.74129022,1352.66191722,28.3261666666667,672.2925,2685.132,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5485.txt,0000000100000
5454,164,2377.029072,1024,1555.74129022,1352.66191722,28.2375,793.3503,2377.022,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5454.txt,0000000100000
5493,167,2580.120048,1227,1555.74129022,1352.66191722,28.353,1291.0673,2580.101,2,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5493.txt,0000000100000
6105,168,2523.092496,1170,1555.74129022,1352.66191722,30.2595,631.7804,2523.079,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn6105.txt,0000000100000
5575,169,2580.111696,1227,1555.74129022,1352.66191722,28.6305,646.0352,2580.101,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5575.txt,0000000100000
6720,170,2594.091972,1241,1555.74129022,1352.66191722,32.1328333333333,865.7046,2594.117,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn6720.txt,0000000100000
5473,171,1758.826272,406,1555.74129022,1352.66191722,28.2843333333333,587.2827,1758.821,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5473.txt,0000000100000
5506,172,2523.084972,1170,1555.74129022,1352.66191722,28.4006666666667,842.0356,2523.079,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5506.txt,0000000100000
5600,174,2539.087696,1186,1555.74129022,1352.66191722,28.7033333333333,635.7792,2539.074,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5600.txt,0000000100000
5172,176,2539.087696,1186,1555.74129022,1352.66191722,27.1786666666667,635.7792,2539.074,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5172.txt,0000000100000
5472,177,2391.045296,1038,1555.74129022,1352.66191722,28.2818333333333,598.7686,2391.037,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5472.txt,0000000100000
4865,179,2539.085296,1186,1555.74129022,1352.66191722,25.8076666666667,635.7786,2539.074,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn4865.txt,0000000100000
5446,180,3253.360496,1900,1555.74129022,1352.66191722,28.2163333333333,814.3474,3253.344,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5446.txt,0000000100000
7076,181,2523.096096,1170,1555.74129022,1352.66191722,33.2078333333333,631.7813,2523.079,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn7076.txt,0000000100000
6156,182,2523.089172,1170,1555.74129022,1352.66191722,30.4435,842.037,2523.079,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn6156.txt,0000000100000
5782,183,1555.749072,203,1555.74129022,1352.66191722,29.2618333333333,519.5903,1555.741,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5782.txt,0000000100000
5693,185,2228.996172,876,1555.74129022,1352.66191722,28.9846666666667,744.006,2228.984,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5693.txt,0000000100000
5444,187,2726.170272,1373,1555.74129022,1352.66191722,28.2111666666667,909.7307,2726.159,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5444.txt,0000000100000
6272,188,2523.095172,1170,1555.74129022,1352.66191722,30.821,842.039,2523.079,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn6272.txt,0000000100000
5445,189,2888.225696,1535,1555.74129022,1352.66191722,28.2136666666667,723.0637,2888.212,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5445.txt,0000000100000
5602,190,2377.033296,1024,1555.74129022,1352.66191722,28.7098333333333,595.2656,2377.022,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5602.txt,0000000100000
5455,191,2391.045672,1038,1555.74129022,1352.66191722,28.2396666666667,798.0225,2391.037,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5455.txt,0000000100000
5569,192,2377.030872,1024,1555.74129022,1352.66191722,28.6148333333333,793.3509,2377.022,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5569.txt,0000000100000
5571,193,2198.982972,846,1555.74129022,1352.66191722,28.6201666666667,734.0016,2198.974,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5571.txt,0000000100000
5898,194,2523.088272,1170,1555.74129022,1352.66191722,29.6375,842.0367,2523.079,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5898.txt,0000000100000
5636,195,2418.059172,1065,1555.74129022,1352.66191722,28.803,807.027,2418.048,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5636.txt,0000000100000
5429,196,3212.333696,1859,1555.74129022,1352.66191722,28.1661666666667,804.0907,3212.317,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5429.txt,0000000100000
5588,197,2742.164896,1389,1555.74129022,1352.66191722,28.668,686.5485,2742.154,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5588.txt,0000000100000
5591,198,2539.086372,1186,1555.74129022,1352.66191722,28.6758333333333,847.3694,2539.074,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5591.txt,0000000100000
5407,199,2701.134096,1348,1555.74129022,1352.66191722,28.0951666666667,676.2908,2701.127,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5407.txt,0000000100000
5457,200,2214.978372,862,1555.74129022,1352.66191722,28.2461666666667,739.3334,2214.969,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5457.txt,0000000100000
5558,203,2847.196896,1494,1555.74129022,1352.66191722,28.5843333333333,712.8065,2847.185,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5558.txt,0000000100000
7246,204,2523.090672,1170,1555.74129022,1352.66191722,33.7546666666667,842.0375,2523.079,3,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn7246.txt,0000000100000
5219,207,2523.101296,1170,1555.74129022,1352.66191722,27.3761666666667,631.7826,2523.079,4,RTKCPSNSTRF,RTKCPSNSTRF,2,glycoMod,0,RTKCPSNSTRF,RTKCPSnSTRF,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn5219.txt,0000000100000
