glycoform mass,?mass (ppm),structure,type,peptide mass [M],peptide sequence,theoretical glycopeptide mass,mod.,Links
1430.518,-3.133,(HexNAc)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2393.037,,UniCarbKB
876.322,-2.716,(Hex)2 (HexNAc)2 (Deoxyhexose)1,-,1699.751,n.a.,2576.073,,UniCarbKB
1460.529,-7.763,(Hex)1 (HexNAc)2 + (Man)3(GlcNAc)2,hybrid/complex,1115.557,n.a.,2576.086,,UniCarbKB
1024.36,6.731,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
1576.576,-3.741,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,4.332,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1024.36,3.366,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
1565.56,13.115,(Hex)2 (HexNAc)1 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,912.467,n.a.,2478.027,,UniCarbKB
1362.481,8.474,(Hex)2 (Deoxyhexose)1 + (Man)3(GlcNAc)2,high_man,1115.557,n.a.,2478.038,,UniCarbKB
1079.402,-11.759,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
511.19,8.196,(Hex)1 (HexNAc)1 (Deoxyhexose)1,-,1928.871,n.a.,2440.061,,UniCarbKB
1576.576,-4.528,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,3.545,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1079.402,-12.164,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
1129.391,4.361,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1392.7,n.a.,2522.091,,UniCarbKB
1665.613,-13.097,(HexNAc)1 (Deoxyhexose)3 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1006.508,n.a.,2672.121,,UniCarbKB
1225.46,-11.458,(Hex)2 (HexNAc)3 (Deoxyhexose)2,-,1392.7,n.a.,2618.16,,UniCarbKB
892.317,0.445,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
1129.391,14.254,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1115.557,n.a.,2244.948,,UniCarbKB
1129.391,5.947,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1392.7,n.a.,2522.091,,UniCarbKB
1590.592,6.097,(HexNAc)2 (Deoxyhexose)2 + (Man)3(GlcNAc)2,hybrid/complex,1361.686,n.a.,2952.278,,UniCarbKB
1129.391,-2.709,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1822.913,n.a.,2952.304,,UniCarbKB
1565.56,7.452,(Hex)2 (HexNAc)1 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,1386.714,n.a.,2952.274,,UniCarbKB
1576.576,-2.559,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,5.514,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
892.317,-4.899,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
1129.391,8.909,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1115.557,n.a.,2244.948,,UniCarbKB
1184.433,13.809,(Hex)3 (HexNAc)2 (Deoxyhexose)2,-,1060.504,n.a.,2244.937,,UniCarbKB
1184.433,9.407,(Hex)3 (HexNAc)2 (Deoxyhexose)2,-,1260.62,n.a.,2445.053,,UniCarbKB
1079.402,-11.759,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
1184.433,9.407,(Hex)3 (HexNAc)2 (Deoxyhexose)2,-,1260.62,n.a.,2445.053,,UniCarbKB
862.307,2.684,(Hex)2 (HexNAc)2 (Pent)1,-,1745.774,n.a.,2608.081,,UniCarbKB
1024.36,4.628,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
1576.576,-3.741,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,4.332,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1738.629,-4.627,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2701.148,,UniCarbKB
1227.439,-9.254,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-5.182,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1079.402,-11.759,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
1170.417,8.719,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2523.079,,UniCarbKB
1079.402,-8.192,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1361.686,n.a.,2441.088,,UniCarbKB
1054.37,-6.554,(Hex)4 (HexNAc)2,-,1386.714,n.a.,2441.084,,UniCarbKB
876.322,-13.118,(Hex)2 (HexNAc)2 (Deoxyhexose)1,-,1867.906,n.a.,2744.228,,UniCarbKB
1430.518,-2.715,(HexNAc)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2393.037,,UniCarbKB
1576.576,-3.347,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,4.726,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1079.402,-11.759,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
1576.576,-3.347,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,4.726,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
552.217,-14.106,(HexNAc)2 (Deoxyhexose)1,-,1928.871,n.a.,2481.088,,UniCarbKB
892.317,9.856,(Hex)3 (HexNAc)2,-,1745.774,n.a.,2638.091,,UniCarbKB
1738.629,-3.146,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2701.148,,UniCarbKB
1227.439,-7.773,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-3.701,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1079.402,-9.421,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1361.686,n.a.,2441.088,,UniCarbKB
1054.37,-7.782,(Hex)4 (HexNAc)2,-,1386.714,n.a.,2441.084,,UniCarbKB
1519.555,-9.112,(HexNAc)1 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,938.497,n.a.,2458.052,,UniCarbKB
1576.576,-3.347,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,4.726,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1389.492,-6.204,(Hex)1 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,2156.004,n.a.,3545.496,,UniCarbKB
2192.798,3.949,(Hex)2 (HexNAc)2 (Deoxyhexose)3 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,3545.46,,UniCarbKB
1665.613,-2.255,(HexNAc)1 (Deoxyhexose)3 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1879.869,n.a.,3545.482,,UniCarbKB
892.317,-7.458,(Hex)3 (HexNAc)2,-,1386.714,n.a.,2279.031,,UniCarbKB
2046.74,3.824,(Hex)2 (HexNAc)2 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,3399.402,,UniCarbKB
1519.555,-2.647,(HexNAc)1 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1879.869,n.a.,3399.424,,UniCarbKB
1170.417,5.152,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2523.079,,UniCarbKB
568.212,-12.493,(Hex)1 (HexNAc)2,-,912.467,n.a.,1480.679,,UniCarbKB
1576.576,-3.741,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,4.332,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1884.687,4.016,(Hex)1 (HexNAc)2 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,3237.349,,UniCarbKB
892.317,-5.344,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
1129.391,8.463,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1115.557,n.a.,2244.948,,UniCarbKB
1184.433,13.363,(Hex)3 (HexNAc)2 (Deoxyhexose)2,-,1060.504,n.a.,2244.937,,UniCarbKB
1681.608,3.955,(Hex)1 (HexNAc)1 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,3034.27,,UniCarbKB
1170.417,4.756,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2523.079,,UniCarbKB
892.317,-2.672,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
1129.391,11.136,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1115.557,n.a.,2244.948,,UniCarbKB
2046.74,-2.159,(Hex)2 (HexNAc)2 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,3009.259,,UniCarbKB
1535.55,-6.313,(Hex)1 (HexNAc)1 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,3009.271,,UniCarbKB
1225.46,-6.313,(Hex)2 (HexNAc)3 (Deoxyhexose)2,-,1783.811,n.a.,3009.271,,UniCarbKB
1129.391,-2.657,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1879.869,n.a.,3009.26,,UniCarbKB
1622.582,-14.621,(Hex)2 (HexNAc)2 + (Man)3(GlcNAc)2,hybrid/complex,1386.714,n.a.,3009.296,,UniCarbKB
1079.402,-6.963,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1361.686,n.a.,2441.088,,UniCarbKB
1054.37,-5.325,(Hex)4 (HexNAc)2,-,1386.714,n.a.,2441.084,,UniCarbKB
1884.687,-3.336,(Hex)1 (HexNAc)2 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2847.206,,UniCarbKB
1373.497,-7.726,(HexNAc)1 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2847.218,,UniCarbKB
1738.629,-4.997,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2701.148,,UniCarbKB
1227.439,-9.625,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-5.552,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
2046.74,-1.827,(Hex)2 (HexNAc)2 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,3009.259,,UniCarbKB
1535.55,-5.981,(Hex)1 (HexNAc)1 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,3009.271,,UniCarbKB
1225.46,-5.981,(Hex)2 (HexNAc)3 (Deoxyhexose)2,-,1783.811,n.a.,3009.271,,UniCarbKB
1129.391,-2.325,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1879.869,n.a.,3009.26,,UniCarbKB
1622.582,-14.288,(Hex)2 (HexNAc)2 + (Man)3(GlcNAc)2,hybrid/complex,1386.714,n.a.,3009.296,,UniCarbKB
1444.534,-11.424,(HexNAc)2 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2407.053,,UniCarbKB
1054.37,-2.907,(Hex)4 (HexNAc)2,-,1352.662,n.a.,2407.032,,UniCarbKB
1346.486,14.541,(Hex)4 (HexNAc)2 (Deoxyhexose)2,-,1060.504,n.a.,2406.99,,UniCarbKB
1884.687,3.707,(Hex)1 (HexNAc)2 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,3237.349,,UniCarbKB
1008.365,3.388,(Hex)2 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2361.027,,UniCarbKB
821.28,-14.319,(Hex)3 (HexNAc)1 (Pent)1,-,2041.955,n.a.,2863.235,,UniCarbKB
1389.492,-6.635,(Hex)1 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2863.213,,UniCarbKB
1079.402,-6.635,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1783.811,n.a.,2863.213,,UniCarbKB
862.307,-13.428,(Hex)2 (HexNAc)2 (Pent)1,-,2041.955,n.a.,2904.262,,UniCarbKB
1551.545,5.509,(Hex)2 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2904.207,,UniCarbKB
1430.518,-5.508,(HexNAc)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2904.239,,UniCarbKB
1024.36,-2.065,(Hex)3 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2904.229,,UniCarbKB
876.322,6.281,(Hex)2 (HexNAc)2 (Deoxyhexose)1,-,1352.662,n.a.,2228.984,,UniCarbKB
1184.433,-1.386,(Hex)3 (HexNAc)2 (Deoxyhexose)2,-,1699.751,n.a.,2884.184,,UniCarbKB
1768.64,-5.893,(Hex)2 (HexNAc)2 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,1115.557,n.a.,2884.197,,UniCarbKB
1170.417,-11.828,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,2041.955,n.a.,3212.372,,UniCarbKB
1738.629,-4.98,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,3212.35,,UniCarbKB
1930.692,-3.275,(Hex)3 (HexNAc)2 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,938.497,n.a.,2869.189,,UniCarbKB
1738.629,-5.367,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2701.148,,UniCarbKB
1227.439,-9.995,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-5.922,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
714.27,3.87,(Hex)1 (HexNAc)2 (Deoxyhexose)1,-,1352.662,n.a.,2066.932,,UniCarbKB
