glycoform mass,?mass (ppm),structure,type,peptide mass [M],peptide sequence,theoretical glycopeptide mass,mod.,Links
1389.492,-8.453,(Hex)1 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2863.213,,UniCarbKB
1227.439,-8.96,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-4.961,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1186.412,4.759,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1227.439,-8.22,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-4.221,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1186.412,3.577,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1054.37,3.358,(Hex)4 (HexNAc)2,-,1352.662,n.a.,2407.032,,UniCarbKB
1024.36,4.242,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
892.317,4.046,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
1227.439,-11.179,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1347.652,n.a.,2575.091,,UniCarbKB
1227.439,-8.59,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-4.591,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1186.412,4.365,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1186.412,3.971,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1024.36,3.821,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
1186.412,3.971,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1227.439,-7.48,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-3.48,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1186.412,3.577,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1186.412,4.759,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1079.402,-11.892,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
1024.36,2.98,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
1227.439,-8.22,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-4.221,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1054.37,5.02,(Hex)4 (HexNAc)2,-,1352.662,n.a.,2407.032,,UniCarbKB
1227.439,-9.331,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-5.331,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1186.412,3.971,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1079.402,-11.081,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
892.317,5.382,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
1186.412,7.441,(Hex)4 (HexNAc)2 (Pent)1,-,1473.721,n.a.,2660.133,,UniCarbKB
1298.476,-3.407,(HexNAc)2 + (Man)3(GlcNAc)2,hybrid/complex,1361.686,n.a.,2660.162,,UniCarbKB
1024.36,6.766,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
1186.412,4.365,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1024.36,3.4,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
1079.402,-11.892,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
1186.412,3.577,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1079.402,-12.298,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
1129.391,4.464,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1392.7,n.a.,2522.091,,UniCarbKB
1225.46,-11.359,(Hex)2 (HexNAc)3 (Deoxyhexose)2,-,1392.7,n.a.,2618.16,,UniCarbKB
892.317,0.482,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
1129.391,6.05,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1392.7,n.a.,2522.091,,UniCarbKB
1565.56,7.34,(Hex)2 (HexNAc)1 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,1386.714,n.a.,2952.274,,UniCarbKB
1590.592,6.075,(HexNAc)2 (Deoxyhexose)2 + (Man)3(GlcNAc)2,hybrid/complex,1361.686,n.a.,2952.278,,UniCarbKB
1186.412,5.546,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
892.317,-4.862,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
1184.433,9.504,(Hex)3 (HexNAc)2 (Deoxyhexose)2,-,1260.62,n.a.,2445.053,,UniCarbKB
1079.402,-11.892,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
1184.433,9.504,(Hex)3 (HexNAc)2 (Deoxyhexose)2,-,1260.62,n.a.,2445.053,,UniCarbKB
862.307,2.522,(Hex)2 (HexNAc)2 (Pent)1,-,1745.774,n.a.,2608.081,,UniCarbKB
1024.36,4.663,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
1186.412,4.365,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1227.439,-9.331,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-5.331,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1079.402,-11.892,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
1170.417,8.752,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2523.079,,UniCarbKB
1054.37,-6.689,(Hex)4 (HexNAc)2,-,1386.714,n.a.,2441.084,,UniCarbKB
1079.402,-8.219,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1361.686,n.a.,2441.088,,UniCarbKB
1186.412,10.495,(Hex)4 (HexNAc)2 (Pent)1,-,1101.603,n.a.,2288.015,,UniCarbKB
1216.423,9.496,(Hex)2 + (Man)3(GlcNAc)2,high_man,1101.603,n.a.,2318.026,,UniCarbKB
1186.412,4.759,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1079.402,-11.892,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
1186.412,4.759,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
892.317,9.695,(Hex)3 (HexNAc)2,-,1745.774,n.a.,2638.091,,UniCarbKB
1227.439,-7.85,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-3.85,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1054.37,-7.918,(Hex)4 (HexNAc)2,-,1386.714,n.a.,2441.084,,UniCarbKB
1079.402,-9.448,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1361.686,n.a.,2441.088,,UniCarbKB
1024.36,10.354,(Hex)3 (HexNAc)2 (Pent)1,-,1101.603,n.a.,2125.963,,UniCarbKB
1186.412,9.183,(Hex)4 (HexNAc)2 (Pent)1,-,1101.603,n.a.,2288.015,,UniCarbKB
1186.412,4.759,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
2192.798,3.972,(Hex)2 (HexNAc)2 (Deoxyhexose)3 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,3545.46,,UniCarbKB
1665.613,-2.369,(HexNAc)1 (Deoxyhexose)3 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1879.869,n.a.,3545.482,,UniCarbKB
700.254,12.771,(Hex)1 (HexNAc)2 (Pent)1,-,1101.603,n.a.,1801.857,,UniCarbKB
892.317,-7.603,(Hex)3 (HexNAc)2,-,1386.714,n.a.,2279.031,,UniCarbKB
2046.74,3.849,(Hex)2 (HexNAc)2 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,3399.402,,UniCarbKB
1519.555,-2.765,(HexNAc)1 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1879.869,n.a.,3399.424,,UniCarbKB
1170.417,5.185,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2523.079,,UniCarbKB
1186.412,4.365,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1884.687,4.041,(Hex)1 (HexNAc)2 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,3237.349,,UniCarbKB
1889.666,13.656,(Hex)4 (HexNAc)1 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,1347.652,n.a.,3237.318,,UniCarbKB
1743.608,-10.187,(Hex)4 (HexNAc)1 + (Man)3(GlcNAc)2,hybrid/complex,1101.603,n.a.,2845.211,,UniCarbKB
892.317,-5.307,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
1186.412,9.62,(Hex)4 (HexNAc)2 (Pent)1,-,1101.603,n.a.,2288.015,,UniCarbKB
1681.608,3.982,(Hex)1 (HexNAc)1 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,3034.27,,UniCarbKB
1170.417,4.789,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2523.079,,UniCarbKB
892.317,-2.635,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
1622.582,-14.73,(Hex)2 (HexNAc)2 + (Man)3(GlcNAc)2,hybrid/complex,1386.714,n.a.,3009.296,,UniCarbKB
1535.55,-6.381,(Hex)1 (HexNAc)1 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,3009.271,,UniCarbKB
1129.391,-2.791,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1879.869,n.a.,3009.26,,UniCarbKB
1054.37,-5.46,(Hex)4 (HexNAc)2,-,1386.714,n.a.,2441.084,,UniCarbKB
1079.402,-6.99,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1361.686,n.a.,2441.088,,UniCarbKB
1499.502,14.825,(Hex)8 (HexNAc)1,-,1347.652,n.a.,2847.154,,UniCarbKB
1373.497,-7.798,(HexNAc)1 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2847.218,,UniCarbKB
1227.439,-9.701,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-5.701,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1622.582,-14.398,(Hex)2 (HexNAc)2 + (Man)3(GlcNAc)2,hybrid/complex,1386.714,n.a.,3009.296,,UniCarbKB
1535.55,-6.049,(Hex)1 (HexNAc)1 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,3009.271,,UniCarbKB
1129.391,-2.459,(Hex)4 (HexNAc)1 (Deoxyhexose)1 (Pent)1,-,1879.869,n.a.,3009.26,,UniCarbKB
1054.37,-2.873,(Hex)4 (HexNAc)2,-,1352.662,n.a.,2407.032,,UniCarbKB
1884.687,3.732,(Hex)1 (HexNAc)2 (Deoxyhexose)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,3237.349,,UniCarbKB
1889.666,13.348,(Hex)4 (HexNAc)1 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,1347.652,n.a.,3237.318,,UniCarbKB
1008.365,3.423,(Hex)2 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2361.027,,UniCarbKB
1389.492,-6.707,(Hex)1 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2863.213,,UniCarbKB
1551.545,5.538,(Hex)2 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2904.207,,UniCarbKB
1430.518,-5.579,(HexNAc)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2904.239,,UniCarbKB
1024.36,-2.204,(Hex)3 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2904.229,,UniCarbKB
876.322,6.318,(Hex)2 (HexNAc)2 (Deoxyhexose)1,-,1352.662,n.a.,2228.984,,UniCarbKB
1738.629,-5.044,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,3212.35,,UniCarbKB
1227.439,-10.071,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-6.072,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
714.27,3.911,(Hex)1 (HexNAc)2 (Deoxyhexose)1,-,1352.662,n.a.,2066.932,,UniCarbKB
1337.449,9.951,(Hex)7 (HexNAc)1,-,1377.681,n.a.,2715.13,,UniCarbKB
1362.481,5.187,(Hex)2 (Deoxyhexose)1 + (Man)3(GlcNAc)2,high_man,1352.662,n.a.,2715.143,,UniCarbKB
1241.455,-7.073,(HexNAc)1 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2715.176,,UniCarbKB
1373.497,5.166,(HexNAc)1 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2726.159,,UniCarbKB
846.312,-3.081,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1879.869,n.a.,2726.181,,UniCarbKB
1702.581,14.822,(Hex)5 + (Man)3(GlcNAc)2,high_man,1347.652,n.a.,3050.233,,UniCarbKB
1576.576,-6.295,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,3050.297,,UniCarbKB
1170.417,-2.754,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1879.869,n.a.,3050.286,,UniCarbKB
1373.497,4.065,(HexNAc)1 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2726.159,,UniCarbKB
846.312,-4.182,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1879.869,n.a.,2726.181,,UniCarbKB
1535.55,4.876,(Hex)1 (HexNAc)1 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2888.212,,UniCarbKB
1008.365,-2.908,(Hex)2 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1879.869,n.a.,2888.234,,UniCarbKB
1373.497,-1.967,(HexNAc)1 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1879.869,n.a.,3253.366,,UniCarbKB
1024.36,2.98,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
1038.375,3.799,(Hex)3 (HexNAc)2 (Deoxyhexose)1,-,1352.662,n.a.,2391.037,,UniCarbKB
511.19,-5.604,(Hex)1 (HexNAc)1 (Deoxyhexose)1,-,1879.869,n.a.,2391.059,,UniCarbKB
862.307,4.101,(Hex)2 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2214.969,,UniCarbKB
1389.492,3.677,(Hex)1 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2742.154,,UniCarbKB
862.307,-4.522,(Hex)2 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2742.176,,UniCarbKB
730.264,4.841,(Hex)2 (HexNAc)2,-,1352.662,n.a.,2082.926,,UniCarbKB
203.079,-5.954,(HexNAc)1,-,1879.869,n.a.,2082.948,,UniCarbKB
1008.365,3.847,(Hex)2 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2361.027,,UniCarbKB
1186.412,1.214,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
821.28,9.104,(Hex)3 (HexNAc)1 (Pent)1,-,1377.681,n.a.,2198.961,,UniCarbKB
846.312,3.221,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2198.974,,UniCarbKB
1227.439,2.745,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-5.969,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1038.375,3.381,(Hex)3 (HexNAc)2 (Deoxyhexose)1,-,1352.662,n.a.,2391.037,,UniCarbKB
511.19,-6.023,(Hex)1 (HexNAc)1 (Deoxyhexose)1,-,1879.869,n.a.,2391.059,,UniCarbKB
406.159,2.89,(HexNAc)2,-,1352.662,n.a.,1758.821,,UniCarbKB
1170.417,8.752,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2523.079,,UniCarbKB
1738.629,2.938,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,3091.291,,UniCarbKB
1743.608,13.008,(Hex)4 (HexNAc)1 + (Man)3(GlcNAc)2,hybrid/complex,1347.652,n.a.,3091.26,,UniCarbKB
1337.449,14.975,(Hex)7 (HexNAc)1,-,1347.652,n.a.,2685.101,,UniCarbKB
1227.439,7.396,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-1.318,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1024.36,5.083,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
1170.417,3.204,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2523.079,,UniCarbKB
1170.417,2.411,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2523.079,,UniCarbKB
1227.439,2.358,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-6.356,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
892.317,4.046,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
876.322,-0.41,(Hex)2 (HexNAc)2 (Deoxyhexose)1,-,1352.662,n.a.,2228.984,,UniCarbKB
1337.449,14.231,(Hex)7 (HexNAc)1,-,1347.652,n.a.,2685.101,,UniCarbKB
1298.476,-11.238,(HexNAc)2 + (Man)3(GlcNAc)2,hybrid/complex,1260.62,n.a.,2559.096,,UniCarbKB
1008.365,3.423,(Hex)2 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2361.027,,UniCarbKB
876.322,3.626,(Hex)2 (HexNAc)2 (Deoxyhexose)1,-,1352.662,n.a.,2228.984,,UniCarbKB
714.27,3.427,(Hex)1 (HexNAc)2 (Deoxyhexose)1,-,1352.662,n.a.,2066.932,,UniCarbKB
1551.545,3.472,(Hex)2 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2904.207,,UniCarbKB
1430.518,-7.645,(HexNAc)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2904.239,,UniCarbKB
1024.36,-4.27,(Hex)3 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2904.229,,UniCarbKB
1373.497,4.799,(HexNAc)1 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2726.159,,UniCarbKB
846.312,-3.448,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1879.869,n.a.,2726.181,,UniCarbKB
203.079,4.553,(HexNAc)1,-,1352.662,n.a.,1555.741,,UniCarbKB
1373.497,-7.447,(HexNAc)1 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2847.218,,UniCarbKB
1038.375,4.217,(Hex)3 (HexNAc)2 (Deoxyhexose)1,-,1352.662,n.a.,2391.037,,UniCarbKB
511.19,-5.186,(Hex)1 (HexNAc)1 (Deoxyhexose)1,-,1879.869,n.a.,2391.059,,UniCarbKB
862.307,4.101,(Hex)2 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2214.969,,UniCarbKB
1389.492,3.677,(Hex)1 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2742.154,,UniCarbKB
862.307,-4.522,(Hex)2 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2742.176,,UniCarbKB
1008.365,4.271,(Hex)2 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2361.027,,UniCarbKB
1024.36,3.821,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
821.28,10.013,(Hex)3 (HexNAc)1 (Pent)1,-,1377.681,n.a.,2198.961,,UniCarbKB
846.312,4.131,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2198.974,,UniCarbKB
1378.476,-14.51,(Hex)3 + (Man)3(GlcNAc)2,high_man,1101.603,n.a.,2480.079,,UniCarbKB
1227.439,4.296,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-4.419,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1551.545,4.16,(Hex)2 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2904.207,,UniCarbKB
1430.518,-6.956,(HexNAc)2 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2904.239,,UniCarbKB
1024.36,-3.581,(Hex)3 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2904.229,,UniCarbKB
1170.417,5.185,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,1352.662,n.a.,2523.079,,UniCarbKB
1389.492,4.042,(Hex)1 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2742.154,,UniCarbKB
862.307,-4.157,(Hex)2 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2742.176,,UniCarbKB
1186.412,4.759,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1216.423,10.03,(Hex)2 + (Man)3(GlcNAc)2,high_man,1377.681,n.a.,2594.104,,UniCarbKB
1241.455,5.043,(HexNAc)1 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2594.117,,UniCarbKB
714.27,-3.624,(Hex)1 (HexNAc)2 (Deoxyhexose)1,-,1879.869,n.a.,2594.139,,UniCarbKB
1298.476,-14.274,(HexNAc)2 + (Man)3(GlcNAc)2,hybrid/complex,1386.714,n.a.,2685.19,,UniCarbKB
1216.423,11.957,(Hex)2 + (Man)3(GlcNAc)2,high_man,1377.681,n.a.,2594.104,,UniCarbKB
1241.455,6.971,(HexNAc)1 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2594.117,,UniCarbKB
714.27,-1.696,(Hex)1 (HexNAc)2 (Deoxyhexose)1,-,1879.869,n.a.,2594.139,,UniCarbKB
